Nome_Video,Secondo,AbsDiff_Perc,Max_Blob_Area,Saliency_Mean,Temp_Variance,Label_Freeze
zo6xVVYyNyQ.mp4,94.8,41.7292,152615,0.133,4.2924,0
zo6xVVYyNyQ.mp4,94.9,47.5254,602585,0.1158,6.2829,0
zo6xVVYyNyQ.mp4,95.0,36.8178,115067,0.1109,11.6383,0
zo6xVVYyNyQ.mp4,95.1,36.7655,118530,0.0988,15.6864,0
zo6xVVYyNyQ.mp4,95.2,47.0991,327315,0.0964,22.1717,0
zo6xVVYyNyQ.mp4,95.3,56.6236,678303,0.0931,56.1286,0
zo6xVVYyNyQ.mp4,95.4,57.3493,871906,0.1008,81.6262,0
zo6xVVYyNyQ.mp4,95.5,52.5328,742583,0.0795,57.5681,0
zo6xVVYyNyQ.mp4,95.6,57.2825,971658,0.0846,15.6989,0
zo6xVVYyNyQ.mp4,95.7,49.5207,686575,0.1018,9.7807,0
zo6xVVYyNyQ.mp4,95.8,47.4321,689017,0.1136,16.0851,0
zo6xVVYyNyQ.mp4,95.9,48.4016,512839,0.1084,12.6967,0
zo6xVVYyNyQ.mp4,96.0,68.116,1257326,0.1233,60.8931,0
zo6xVVYyNyQ.mp4,96.1,76.2035,1498137,0.0878,141.8775,0
zo6xVVYyNyQ.mp4,96.2,65.2058,1162281,0.1125,128.4508,0
zo6xVVYyNyQ.mp4,96.3,51.4029,740136,0.137,109.3095,0
zo6xVVYyNyQ.mp4,96.4,52.49,752709,0.0948,89.9646,0
zo6xVVYyNyQ.mp4,96.5,49.3626,721505,0.1033,105.4853,0
zo6xVVYyNyQ.mp4,96.6,51.9883,706806,0.0916,32.0215,0
zo6xVVYyNyQ.mp4,96.7,49.2392,751378,0.1181,1.8175,0
zo6xVVYyNyQ.mp4,96.8,45.9343,727966,0.1343,5.4949,0
zo6xVVYyNyQ.mp4,96.9,45.6332,660249,0.128,5.6473,0
zo6xVVYyNyQ.mp4,97.0,45.2877,657434,0.1201,6.7865,0
zo6xVVYyNyQ.mp4,97.1,54.501,911968,0.1322,12.1906,0
zo6xVVYyNyQ.mp4,97.2,51.9423,726820,0.0843,14.5708,0
zo6xVVYyNyQ.mp4,97.3,43.2254,656125,0.0934,18.698,0
zo6xVVYyNyQ.mp4,97.4,30.7484,219492,0.0907,68.9412,0
zo6xVVYyNyQ.mp4,97.5,34.0379,379221,0.0993,88.5303,0
zo6xVVYyNyQ.mp4,97.6,34.4442,133929,0.1097,59.7506,0
zo6xVVYyNyQ.mp4,97.7,45.5105,570163,0.0943,32.7628,0
zo6xVVYyNyQ.mp4,97.8,46.2418,510789,0.1338,41.0139,0
zo6xVVYyNyQ.mp4,97.9,42.7504,358654,0.0914,28.3044,0
zo6xVVYyNyQ.mp4,98.0,42.5631,209515,0.1263,17.5661,0
zo6xVVYyNyQ.mp4,98.1,43.172,385615,0.1159,2.3215,0
zo6xVVYyNyQ.mp4,98.2,51.8908,721712,0.1195,12.5685,0
zo6xVVYyNyQ.mp4,98.3,58.6871,839003,0.0932,41.9211,0
zo6xVVYyNyQ.mp4,98.4,46.7256,541844,0.1101,36.4,0
zo6xVVYyNyQ.mp4,98.5,45.1818,588396,0.1284,31.1656,0
zo6xVVYyNyQ.mp4,98.6,46.8319,626760,0.1339,24.5843,0
zo6xVVYyNyQ.mp4,98.7,55.6447,613928,0.1111,29.8832,0
zo6xVVYyNyQ.mp4,98.8,72.6618,1422882,0.1452,106.2567,0
zo6xVVYyNyQ.mp4,98.9,53.0679,668191,0.117,95.7369,0
zo6xVVYyNyQ.mp4,99.0,49.4367,812971,0.1292,82.472,0
zo6xVVYyNyQ.mp4,99.1,62.5643,1163442,0.1051,67.3454,0
zo6xVVYyNyQ.mp4,99.2,63.938,1162805,0.13,68.2971,0
zo6xVVYyNyQ.mp4,99.3,60.9303,923065,0.1405,32.4667,0
zo6xVVYyNyQ.mp4,99.4,63.1782,1126776,0.1314,28.9266,0
zo6xVVYyNyQ.mp4,99.5,61.8803,1057874,0.1137,1.076,0
zo6xVVYyNyQ.mp4,99.6,55.1556,890581,0.1369,9.6623,0
zo6xVVYyNyQ.mp4,99.7,47.2613,357926,0.1222,34.6718,0
zo6xVVYyNyQ.mp4,99.8,49.6674,521568,0.1445,40.3302,0
zo6xVVYyNyQ.mp4,99.9,53.2888,415197,0.1282,25.3226,0
zo6xVVYyNyQ.mp4,100.0,54.8454,963621,0.137,9.5204,0
zo6xVVYyNyQ.mp4,100.1,47.5702,699756,0.1317,9.2844,0
zo6xVVYyNyQ.mp4,100.2,45.357,590733,0.1254,12.352,0
zo6xVVYyNyQ.mp4,100.3,60.476,1067170,0.138,28.9759,0
zo6xVVYyNyQ.mp4,100.4,55.2424,957293,0.1172,30.3534,0
zo6xVVYyNyQ.mp4,100.5,55.2813,801249,0.1148,30.7582,0
zo6xVVYyNyQ.mp4,100.6,57.3715,774790,0.0991,25.6826,0
zo6xVVYyNyQ.mp4,100.7,60.988,1046647,0.121,6.0735,0
zo6xVVYyNyQ.mp4,100.8,63.3983,1163421,0.1413,10.4839,0
zo6xVVYyNyQ.mp4,100.9,57.7243,891878,0.1213,8.2788,0
zo6xVVYyNyQ.mp4,101.0,59.4966,891512,0.1196,4.9314,0
zo6xVVYyNyQ.mp4,101.1,54.774,418412,0.109,8.5298,0
zo6xVVYyNyQ.mp4,101.2,57.9555,950675,0.1136,7.9248,0
zo6xVVYyNyQ.mp4,101.3,59.3403,503643,0.13,2.8842,0
zo6xVVYyNyQ.mp4,101.4,59.8645,892503,0.1091,3.5025,0
zo6xVVYyNyQ.mp4,101.5,59.3899,747239,0.1035,3.4527,0
zo6xVVYyNyQ.mp4,101.6,48.8045,485839,0.0992,17.4897,0
zo6xVVYyNyQ.mp4,101.7,56.116,408850,0.1203,17.3802,0
zo6xVVYyNyQ.mp4,101.8,59.4557,808965,0.1069,17.5041,0
zo6xVVYyNyQ.mp4,101.9,55.6874,440530,0.0994,15.0521,0
zo6xVVYyNyQ.mp4,102.0,54.7278,641026,0.1228,12.0043,0
zo6xVVYyNyQ.mp4,102.1,45.0825,593402,0.1207,23.3825,0
zo6xVVYyNyQ.mp4,102.2,46.8174,661057,0.1059,30.1419,0
zo6xVVYyNyQ.mp4,102.3,49.6386,782072,0.093,17.6753,0
zo6xVVYyNyQ.mp4,102.4,42.5023,311395,0.1052,17.556,0
zo6xVVYyNyQ.mp4,102.5,56.9657,987834,0.1159,24.6002,0
zo6xVVYyNyQ.mp4,102.6,52.0307,658400,0.1132,23.6566,0
zo6xVVYyNyQ.mp4,102.7,54.2308,539848,0.133,24.2255,0
zo6xVVYyNyQ.mp4,102.8,64.2902,1201491,0.1331,50.1626,0
zo6xVVYyNyQ.mp4,102.9,71.8051,1342168,0.112,52.735,0
zo6xVVYyNyQ.mp4,103.0,72.8221,1427119,0.1267,74.5772,0
zo6xVVYyNyQ.mp4,103.1,48.8146,614885,0.1182,90.3893,0
zo6xVVYyNyQ.mp4,103.2,44.5594,257206,0.0992,136.9292,0
zo6xVVYyNyQ.mp4,103.3,60.0807,1045887,0.1182,133.3122,0
zo6xVVYyNyQ.mp4,103.4,59.4374,1067906,0.1072,97.4873,0
zo6xVVYyNyQ.mp4,103.5,42.442,464264,0.1123,54.6242,0
zo6xVVYyNyQ.mp4,103.6,38.0012,182390,0.1165,83.0746,0
zo6xVVYyNyQ.mp4,103.7,43.4172,541156,0.1263,85.2683,0
zo6xVVYyNyQ.mp4,103.8,39.5953,296984,0.1326,58.9583,0
zo6xVVYyNyQ.mp4,103.9,42.8956,426212,0.1315,4.4233,0
zo6xVVYyNyQ.mp4,104.0,46.075,722346,0.1445,8.2378,0
zo6xVVYyNyQ.mp4,104.1,47.9205,794868,0.1468,8.1269,0
zo6xVVYyNyQ.mp4,104.2,52.8647,926474,0.1262,20.2783,0
zo6xVVYyNyQ.mp4,104.3,36.9049,390665,0.1253,28.1891,0
zo6xVVYyNyQ.mp4,104.4,36.1691,208134,0.1131,41.9841,0
zo6xVVYyNyQ.mp4,104.5,54.9326,985282,0.1288,61.9356,0
zo6xVVYyNyQ.mp4,104.6,55.685,831980,0.1304,78.2967,0
zo6xVVYyNyQ.mp4,104.7,65.0014,1187556,0.1099,128.8244,0
zo6xVVYyNyQ.mp4,104.8,62.5905,1085404,0.118,102.5281,0
zo6xVVYyNyQ.mp4,104.9,48.9977,750203,0.1211,32.8681,0
zo6xVVYyNyQ.mp4,105.0,52.7762,833087,0.1188,35.7761,0
zo6xVVYyNyQ.mp4,105.1,59.2894,1008485,0.107,35.9442,0
zo6xVVYyNyQ.mp4,105.2,48.9358,606044,0.0837,30.5198,0
zo6xVVYyNyQ.mp4,105.3,43.185,420460,0.0975,28.1105,0
zo6xVVYyNyQ.mp4,105.4,50.4963,818447,0.1038,27.4873,0
zo6xVVYyNyQ.mp4,105.5,56.9609,986281,0.1283,33.3686,0
zo6xVVYyNyQ.mp4,105.6,59.3889,1066379,0.1183,33.6694,0
zo6xVVYyNyQ.mp4,105.7,64.3545,1154677,0.1133,54.0829,0
zo6xVVYyNyQ.mp4,105.8,69.6317,1215468,0.1115,42.3041,0
zo6xVVYyNyQ.mp4,105.9,73.6046,1342976,0.1054,38.3588,0
zo6xVVYyNyQ.mp4,106.0,65.4061,1071925,0.1123,23.3294,0
zo6xVVYyNyQ.mp4,106.1,62.4803,999440,0.1031,16.0934,0
zo6xVVYyNyQ.mp4,106.2,64.5015,961290,0.1154,15.9356,0
zo6xVVYyNyQ.mp4,106.3,62.9782,1033017,0.0937,16.347,0
zo6xVVYyNyQ.mp4,106.4,59.2679,917845,0.086,4.4433,0
zo6xVVYyNyQ.mp4,106.5,64.4378,1141884,0.1214,3.633,0
zo6xVVYyNyQ.mp4,106.6,52.8927,732888,0.1169,19.3104,0
zo6xVVYyNyQ.mp4,106.7,56.8661,457809,0.1265,17.381,0
zo6xVVYyNyQ.mp4,106.8,52.9747,409608,0.1614,18.6284,0
zo6xVVYyNyQ.mp4,106.9,58.1317,1028724,0.1405,17.935,0
zo6xVVYyNyQ.mp4,107.0,57.5452,800385,0.1186,5.197,0
zo6xVVYyNyQ.mp4,107.1,69.3247,1254678,0.1117,30.0645,0
zo6xVVYyNyQ.mp4,107.2,71.955,1271979,0.1019,53.8035,0
zo6xVVYyNyQ.mp4,107.3,65.8557,1033794,0.1273,33.9194,0
zo6xVVYyNyQ.mp4,107.4,62.6288,756130,0.0979,25.5874,0
zo6xVVYyNyQ.mp4,107.5,69.5905,1103811,0.1018,10.6583,0
zo6xVVYyNyQ.mp4,107.6,66.6799,1170790,0.1152,10.2395,0
zo6xVVYyNyQ.mp4,107.7,65.0346,1192133,0.1136,5.1327,0
zo6xVVYyNyQ.mp4,107.8,55.4613,736219,0.1274,22.8446,0
zo6xVVYyNyQ.mp4,107.9,57.1762,608492,0.1364,30.3282,0
zo6xVVYyNyQ.mp4,108.0,67.3851,1254537,0.1356,25.1059,0
zo6xVVYyNyQ.mp4,108.1,73.5139,1302006,0.1211,44.4219,0
zo6xVVYyNyQ.mp4,108.2,62.0792,1110056,0.1176,44.2585,0
zo6xVVYyNyQ.mp4,108.3,66.3605,1187103,0.1043,29.862,0
zo6xVVYyNyQ.mp4,108.4,55.1653,615473,0.099,37.0461,0
zo6xVVYyNyQ.mp4,108.5,53.5149,788546,0.1312,54.0441,0
zo6xVVYyNyQ.mp4,108.6,66.7094,1268327,0.1242,30.4586,0
zo6xVVYyNyQ.mp4,108.7,61.6763,856299,0.1133,30.273,0
zo6xVVYyNyQ.mp4,108.8,75.1294,1441868,0.0984,62.482,0
zo6xVVYyNyQ.mp4,108.9,68.3357,1234223,0.0804,51.916,0
zo6xVVYyNyQ.mp4,109.0,65.0183,1180142,0.1,19.9051,0
zo6xVVYyNyQ.mp4,109.1,55.7648,602171,0.101,41.9795,0
zo6xVVYyNyQ.mp4,109.2,57.4567,1110737,0.0676,50.7501,0
zo6xVVYyNyQ.mp4,109.3,73.826,1474054,0.1174,45.3974,0
zo6xVVYyNyQ.mp4,109.4,68.9534,830419,0.1168,46.5099,0
zo6xVVYyNyQ.mp4,109.5,66.9088,1135077,0.0979,47.6975,0
zo6xVVYyNyQ.mp4,109.6,64.5818,428036,0.0819,29.0394,0
zo6xVVYyNyQ.mp4,109.7,72.4167,782397,0.1127,11.6581,0
zo6xVVYyNyQ.mp4,109.8,73.7477,1185029,0.1273,11.5186,0
zo6xVVYyNyQ.mp4,109.9,66.9891,846678,0.1681,12.4252,0
zo6xVVYyNyQ.mp4,110.0,42.8181,324706,0.1502,124.7484,0
zo6xVVYyNyQ.mp4,110.1,67.1649,1003698,0.1464,126.3027,0
zo6xVVYyNyQ.mp4,110.2,57.9904,767101,0.1534,114.6529,0
zo6xVVYyNyQ.mp4,110.3,10.6904,24347,0.155,448.0312,0
zo6xVVYyNyQ.mp4,110.4,7.2724,8913,0.156,592.0233,0
zo6xVVYyNyQ.mp4,110.5,73.3667,1394846,0.1581,810.1434,0
zo6xVVYyNyQ.mp4,110.6,76.6864,1444373,0.1552,915.5523,0
zo6xVVYyNyQ.mp4,110.7,71.0614,999458,0.1329,1009.7552,0
zo6xVVYyNyQ.mp4,110.8,54.7605,701855,0.1062,666.061,0
zo6xVVYyNyQ.mp4,110.9,41.0559,472829,0.112,181.6916,0
zo6xVVYyNyQ.mp4,111.0,49.4343,731338,0.1347,177.7904,0
zo6xVVYyNyQ.mp4,111.1,56.2743,959679,0.1234,96.7799,0
zo6xVVYyNyQ.mp4,111.2,43.1507,681628,0.1461,36.7178,0
zo6xVVYyNyQ.mp4,111.3,40.4879,580653,0.1265,36.0535,0
zo6xVVYyNyQ.mp4,111.4,40.256,591607,0.0974,37.7636,0
zo6xVVYyNyQ.mp4,111.5,39.6672,563281,0.1017,39.2997,0
zo6xVVYyNyQ.mp4,111.6,41.1522,607402,0.1057,1.4449,0
zo6xVVYyNyQ.mp4,111.7,40.3524,518690,0.1163,0.2264,0
zo6xVVYyNyQ.mp4,111.8,36.3593,298069,0.1067,2.7806,0
zo6xVVYyNyQ.mp4,111.9,47.8074,703439,0.1096,14.0146,0
zo6xVVYyNyQ.mp4,112.0,44.7964,486223,0.1201,15.3506,0
zo6xVVYyNyQ.mp4,112.1,46.3428,343783,0.0985,17.7069,0
zo6xVVYyNyQ.mp4,112.2,40.5339,502158,0.0953,17.5104,0
zo6xVVYyNyQ.mp4,112.3,38.4017,241035,0.0842,12.6156,0
zo6xVVYyNyQ.mp4,112.4,37.592,260679,0.0877,12.0238,0
zo6xVVYyNyQ.mp4,112.5,34.0659,205956,0.0829,16.4411,0
zo6xVVYyNyQ.mp4,112.6,35.0365,282553,0.1012,5.4377,0
zo6xVVYyNyQ.mp4,112.7,49.6303,717010,0.1061,31.0765,0
zo6xVVYyNyQ.mp4,112.8,46.5021,424907,0.0937,39.8138,0
zo6xVVYyNyQ.mp4,112.9,42.8708,526693,0.0986,37.9941,0
zo6xVVYyNyQ.mp4,113.0,40.5549,591163,0.0939,25.1209,0
zo6xVVYyNyQ.mp4,113.1,44.2372,739609,0.0923,9.6559,0
zo6xVVYyNyQ.mp4,113.2,58.211,1051621,0.1004,38.1562,0
zo6xVVYyNyQ.mp4,113.3,53.023,742035,0.0976,45.0298,0
zo6xVVYyNyQ.mp4,113.4,49.603,523156,0.0913,39.0633,0
zo6xVVYyNyQ.mp4,113.5,45.9765,558790,0.096,25.179,0
zo6xVVYyNyQ.mp4,113.6,49.4549,679821,0.0891,17.0689,0
zo6xVVYyNyQ.mp4,113.7,56.8222,870784,0.096,13.5125,0
zo6xVVYyNyQ.mp4,113.8,65.4485,1131237,0.1044,48.3901,0
zo6xVVYyNyQ.mp4,113.9,71.2092,1327736,0.1398,89.74,0
zo6xVVYyNyQ.mp4,114.0,54.283,940295,0.1291,61.5537,0
zo6xVVYyNyQ.mp4,114.1,56.3422,992866,0.1615,41.6251,0
zo6xVVYyNyQ.mp4,114.2,54.8588,961779,0.1458,45.3824,0
zo6xVVYyNyQ.mp4,114.3,51.8916,900550,0.1518,47.5656,0
zo6xVVYyNyQ.mp4,114.4,53.8017,845414,0.1242,2.1022,0
zo6xVVYyNyQ.mp4,114.5,46.3963,589948,0.1208,11.9042,0
zo6xVVYyNyQ.mp4,114.6,33.6954,269366,0.1331,60.5915,0
zo6xVVYyNyQ.mp4,114.7,64.1282,1153792,0.1163,99.2923,0
zo6xVVYyNyQ.mp4,114.8,66.496,1161493,0.1162,144.5704,0
zo6xVVYyNyQ.mp4,114.9,48.9853,774353,0.1286,146.5516,0
zo6xVVYyNyQ.mp4,115.0,43.2745,536294,0.1219,155.0336,0
zo6xVVYyNyQ.mp4,115.1,46.2846,634750,0.1149,91.6605,0
zo6xVVYyNyQ.mp4,115.2,45.1232,602021,0.0964,71.1926,0
zo6xVVYyNyQ.mp4,115.3,52.0928,346336,0.0857,9.5351,0
zo6xVVYyNyQ.mp4,115.4,44.1016,207939,0.0983,9.77,0
zo6xVVYyNyQ.mp4,115.5,40.1965,291193,0.0983,14.8575,0
zo6xVVYyNyQ.mp4,115.6,36.8764,163010,0.0863,26.2919,0
zo6xVVYyNyQ.mp4,115.7,59.0864,955822,0.1063,65.5587,0
zo6xVVYyNyQ.mp4,115.8,40.1811,274305,0.1028,61.4735,0
zo6xVVYyNyQ.mp4,115.9,41.6349,271617,0.0923,62.434,0
zo6xVVYyNyQ.mp4,116.0,46.8041,704213,0.0929,60.4371,0
zo6xVVYyNyQ.mp4,116.1,36.787,480888,0.087,60.7259,0
zo6xVVYyNyQ.mp4,116.2,28.6971,191994,0.1016,36.0258,0
zo6xVVYyNyQ.mp4,116.3,23.6587,42332,0.0946,70.7142,0
zo6xVVYyNyQ.mp4,116.4,32.6203,281055,0.0979,61.6537,0
zo6xVVYyNyQ.mp4,116.5,26.0777,173319,0.1107,21.8581,0
zo6xVVYyNyQ.mp4,116.6,23.3448,62748,0.0974,11.9541,0
zo6xVVYyNyQ.mp4,116.7,25.5793,82049,0.0988,11.2429,0
zo6xVVYyNyQ.mp4,116.8,25.4423,194776,0.0937,9.8988,0
zo6xVVYyNyQ.mp4,116.9,28.7116,228141,0.0987,2.9509,0
